Source,Target,Weight
"other:world cup t20","place:australia",1
"other:world cup t20","place:new zealand",1
"organization:australia","person:shaheen shah afridi",3
"organization:australia","person:shahid afridi",4
"other:t20 world cup","person:shaheen shah afridi",2
"other:t20 world cup","person:shahid afridi",1
"person:shaheen shah afridi","place:pakistan",23
"person:shahid afridi","place:pakistan",12
"person:hasan ali","person:pakistan cricketer wasim akram",1
"organization:pakistan","person:tyrelle audain",1
"person:matthew wade","person:tyrelle audain",1
"person:pakistanis","person:shadab khan",3
"person:hasan ali","place:dubai",10
"person:gautam gambhir","person:hafeez",1
"person:david warner","person:mohammed hafeez",3
"person:gautam gambhir","person:mohammed hafeez",2
"organization:pakistan🇵🇰","place:australia",1
"organization:pakistan cricket","organization:t20",1
"organization:pakistan cricket","place:bangladesh",1
"organization:pakistan cricket","place:dubai",5
"organization:t20","place:dubai",35
"place:bangladesh","place:dubai",3
"organization:odi","person:pak",1
"place:aus","place:bangladesh",3
"place:aus","place:nz",28
"place:bangladesh","place:nz",2
"other:champions trophy","person:hasan ali",4
"place:pakistan","place:uae",91
"person:glenn maxwell","person:maxwell",4
"person:afridi","person:hasan ali",48
"person:hassan ali","person:sunni",1
"person:shia","person:sunni",1
"organization:indians","person:pakistanis",12
"organization:t20","person:mohammad rizwan",8
"other:t20 world cup semis","person:mathew wade",1
"other:t20 world cup semis","place:pakistan",1
"person:mathew wade","place:pakistan",79
"organization:pakistan","other:allah",9
"other:allah","place:pakistan",347
"organization:misbahs","organization:🇵🇰",1
"organization:misbahs","place:india",1
"organization:🇵🇰","place:india",1
"organization:icc men","other:icc t20 world cup",1
"other:icc t20 world cup","other:t20 world cup",1
"organization:smart new zealand","other:t20 world cup",1
"organization:smart new zealand","place:australia",1
"person:prime minister imran khan","place:pakistan",4
"person:haris","person:maxwell",7
"person:fakhar","person:superman",1
"organization:pakistani","other:t20 world cup",2
"organization:pakistani","place:balochistan",1
"other:t20 world cup","place:balochistan",1
"person:babar azam","person:sunil gavaskar",2
"person:vvs laxman","place:australia",2
"place:australia","place:budgam",2
"place:australia","place:kashmir",11
"place:budgam","place:dubai",1
"place:budgam","place:kashmir",2
"place:budgam","place:pakistan",2
"place:dubai","place:kashmir",1
"place:kashmir","place:pakistan",27
"organization:5wickets","organization:australia",1
